Bajirao Mastani	2015	7.2	158	Sanjay Leela Bhansali	Priyanka Chopra, Deepika Padukone, Irrfan Khan, Ranveer Singh
Queen	2014	8.4	146	Vikas Bahl	Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Mish Boyko
Bhaag Milkha Bhaag	2013	8.3	186	Rakeysh Omprakash Mehra	Farhan Akhtar, Sonam Kapoor, Pavan Malhotra, Art Malik
Barfi!	2012	8.2	151	Anurag Basu	Ranbir Kapoor, Priyanka Chopra, Ileana, Saurabh Shukla
Zindagi Na Milegi Dobara	2011	8.1	155	Zoya Akhtar	Katrina Kaif, Hrithik Roshan, Farhan Akhtar, Naseeruddin Shah
Dabangg	2010	6.3	126	Abhinav Singh Kashyap	Salman Khan, Sonakshi Sinha, Vinod Khanna, Dimple Kapadia
3 Idiots	2009	8.4	170	Rajkumar Hirani	Aamir Khan, Madhavan, Mona Singh, Sharman Joshi
Jodhaa Akbar	2008	7.6	213	Ashutosh Gowariker	Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Poonam Sinha
Taare Zameen Par	2007	8.5	165	Aamir Khan	Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer
Rang De Basanti	2006	8.4	157	Rakesh Omprakash Mehra	Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi
Black	2005	8.3	122	Sanjay Leela Bhansali	Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor
Veer-Zaara	2004	7.9	192	Yash Chopra	Shah Rukh Khan, Preity Zinta, Rani Mukerji, Kiron Kher
Koi... Mil Gaya	2003	7.1	171	Rakesh Roshan	Rekha, Hrithik Roshan, Preity Zinta, Rakesh Roshan
Devdas	2002	7.6	185	Sanjay Leela Bhansali	Shah Rukh Khan, Madhuri Dixit, Aishwarya Rai Bachchan, Jackie Shroff
Lagaan: Once Upon a Time in India	2001	8.2	224	Ashutosh Gowariker	Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne
Kaho Naa... Pyaar Hai	2000	6.9	172	Rakesh Roshan	Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil
